,userid,name,username,followers,image,location
52,1368594785234083840,𝖐𝖎𝖓𝖌 𝕺F Sẹã 💕,Dfan_Surya,1528,https://pbs.twimg.com/profile_images/1765775658175934464/fytGMc1v_normal.jpg,
53,1539106690229907458,JISHNU 😼,____JISHNU,961,https://pbs.twimg.com/profile_images/1774344050793226240/kZEWFblY_normal.jpg,Calicut
54,1382407666861953025,Ajith,Ajithkumar0005,198,https://pbs.twimg.com/profile_images/1617938426015420417/m5q9qBuP_normal.jpg,
55,544038505,JQN,KSAmbyar,1814,https://pbs.twimg.com/profile_images/1105091635413581825/jqM-aik2_normal.jpg,Solo
56,859075574492418048,Gopal Krishna,GopalKr26609972,385,https://pbs.twimg.com/profile_images/1426789874993033216/L7DxWbvY_normal.jpg,Tenali 
57,1011484061125173248,Vijay Saran,VijaySaran1522,324,https://pbs.twimg.com/profile_images/1700739502086696960/aYbSCu76_normal.jpg,
58,1284502539350601734,𝐃𝐞𝐦😈𝐧 𝐊𝐢𝐧𝐠 👑,Demon_king1212,3300,https://pbs.twimg.com/profile_images/1766830887113789440/WNYKzcGl_normal.jpg,"Tiruchirapalli, India"
59,984260527349161986,MUZU😇😍🤩😎,muz_u_am_mil,93,https://pbs.twimg.com/profile_images/1212438268840570880/HZT46Z2T_normal.jpg,"Kollam, Kerala, India"
60,1006392732502261760,Kabilnath,itz_kabil,1342,https://pbs.twimg.com/profile_images/1736233518282559488/Pv8lscwb_normal.jpg,"Dindigul/Chennai, India"
61,1597812810401996800,KarthiK,TamilanKarthik_,625,https://pbs.twimg.com/profile_images/1775727384245006336/8MWGcpQo_normal.jpg,"Ahmadabad City, India"
62,1000391498347655168,PSV Saketh 🦁,Pk_PowerstarFan,2823,https://pbs.twimg.com/profile_images/1672841484817829888/gg7F-c7z_normal.jpg,
63,1222172738636267520,SingamDfan,Yuvaraj07309839,1270,https://pbs.twimg.com/profile_images/1770310493300998144/YD16Ikpy_normal.jpg,
64,1558444405769441280,chiyaan balaji,chiyaanbalaji17,528,https://pbs.twimg.com/profile_images/1558448961412771845/kpGD9z7O_normal.jpg,
65,1330537037930385412,ᴅᴏɴ ɢᴇᴏʀɢᴇ,DonGeor62959935,190,https://pbs.twimg.com/profile_images/1759368713457766400/UOm7fwT5_normal.jpg,"kerala, india"
66,1675590507815407621,𝘽𝙐𝙉𝙉𝙔 𝙎𝘼𝙄™,Bunny_Sai4602,1037,https://pbs.twimg.com/profile_images/1776591681040883712/6WH7SnO3_normal.jpg,cinema theatre
67,1533721945040031751,M.Ajay Vijay,sivaajayajayap1,242,https://pbs.twimg.com/profile_images/1779003407837298688/81hdWFCC_normal.jpg,
68,1333297773928611840,Movie Tamil,MovieTamil4,33039,https://pbs.twimg.com/profile_images/1712594392161394688/9EBDdOuo_normal.jpg,Chennai 🇮🇳
69,1410130492591001601,Ukesh Uki,UkiUkesh,85,https://pbs.twimg.com/profile_images/1700735996424486912/M-zZtFan_normal.jpg,
70,1652635517987483648,Lokesh Lokesh,LokeshLoke58916,94,https://pbs.twimg.com/profile_images/1760923512322060288/wZJQw_ta_normal.jpg,
71,1498168714268536834,Harish Jeyaraj,HarishJeyaraj16,894,https://pbs.twimg.com/profile_images/1698339504409673728/oIiVyaFk_normal.jpg,
72,1398701064115744770,🔥☬வடசென்னை☬🔥,asuran_vicky,1463,https://pbs.twimg.com/profile_images/1780262223979618304/hcBt4K_p_normal.jpg,
73,1267825581518798849,𝐃 𝐮 𝐬 𝐭 𝐢 𝐧 🤍,Sakthi_champ,2109,https://pbs.twimg.com/profile_images/1779210263302131712/V2d3lSN9_normal.jpg,𝙰𝚂𝙶𝙰𝚁𝙳 💫
74,1753520942872199168,KING🐐👿,SyedVtk,356,https://pbs.twimg.com/profile_images/1780571584488443905/BrmvcL5G_normal.jpg,
75,1683476628662280192,彡AAKASH♡༎D50༎™,charlieash49,1075,https://pbs.twimg.com/profile_images/1774124890112827392/c4BWEQMO_normal.jpg,
76,1628082292097978368,𝑫𝒉𝒂𝒏𝒖𝒔𝒉シ︎𝑵𝒂𝒗𝒆𝒆𝒏,Naveen_Dfan_17,869,https://pbs.twimg.com/profile_images/1778722909076557824/aALm4MTv_normal.jpg,Loading....
77,1474238668646719489,Shanmuga Raj,shanmugarajkuti,268,https://pbs.twimg.com/profile_images/1479418109089878017/sNj9vyLy_normal.jpg,
78,1543234725510541313,ʜᴘʏ ɪᴅɪᴏᴛ シ︎,Praveen_Dcc,1469,https://pbs.twimg.com/profile_images/1744014705839284224/A6tOeukc_normal.jpg,somewhere in the world 
79,1703271418413092864,Swetha™,SwethaLittle_,391,https://pbs.twimg.com/profile_images/1703273111775518720/03kNxClk_normal.jpg,Coimbatore 
80,1242799987861245953,☬HariHaran☬,iam_hari_06,136,https://pbs.twimg.com/profile_images/1669702932886077442/ad6Mor2f_normal.jpg,
81,1685111088,amarjeetjaglan,i_amarjitjaglan,359,https://pbs.twimg.com/profile_images/1331271703473704960/2GEpxLCf_normal.jpg,panipat
